#RUN	GRID	lat	lon	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	55	28.45	97.75	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4939	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	56	28.45	97.8	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4940	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	57	28.45	97.85	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4482	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	58	28.45	97.9	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4028	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	59	28.45	97.95	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	3796	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	60	28.45	98	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4700	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	61	28.45	98.05	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4480	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	62	28.45	98.1	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4141	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	63	28.45	98.15	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4124	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	64	28.45	98.2	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4676	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	65	28.4	97.55	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4304	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	66	28.4	97.6	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	3769	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	67	28.4	97.65	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4722	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	68	28.4	97.7	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4080	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	69	28.4	97.75	0.4	0.9	10	0.6	2	13.6	13.6	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4059	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	70	28.4	97.8	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4602	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	71	28.4	97.85	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4028	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	72	28.4	97.9	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4914	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	73	28.4	97.95	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4211	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	74	28.4	98	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	3375	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	75	28.4	98.05	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	3667	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	76	28.4	98.1	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.043333981	0.421320208	4590	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1210	1450	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	77	28.4	98.15	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	3924	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	78	28.4	98.2	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4207	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	79	28.4	98.25	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.040827057	0.040827057	4343	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1140	1140	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	80	28.35	97.5	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	5158	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	81	28.35	97.55	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	3488	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	82	28.35	97.6	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	3173	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	83	28.35	97.65	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4319	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
